Time,Yaw,RPM,Laser1,Laser2,Laser3,
18,0.4375,173,338,384,346,
19,0.3125,174,343,385,341,
20,0.2500,175,339,388,348,
21,0.3750,176,347,400,348,
22,0.2500,177,352,400,353,
23,0.2500,178,358,411,360,
24,0.3750,179,370,418,367,
25,0.3750,180,365,409,369,
26,0.3750,181,362,416,369,
28,0.4375,182,370,413,367,
29,0.4375,183,369,420,372,
30,0.4375,184,376,424,377,
31,0.5000,185,377,421,378,
32,0.5625,186,382,422,377,
33,0.5625,187,377,428,387,
34,0.5625,188,382,429,383,
35,0.5625,189,387,436,386,
36,0.5625,190,387,436,390,
37,0.6875,191,388,439,390,
38,0.6875,192,391,439,392,
39,0.7500,193,397,446,393,
40,0.7500,194,396,447,395,
41,0.6875,195,396,448,397,
42,0.6250,196,396,444,401,
43,1.1250,197,399,447,400,
44,1.0000,198,397,448,401,
45,0.6875,199,399,448,402,
46,0.6875,200,400,449,406,
47,0.7500,201,399,448,405,
48,0.7500,202,400,449,403,
49,0.8125,203,399,448,403,
50,0.8125,204,398,448,401,
51,0.8125,205,398,448,402,
52,0.8750,206,398,447,403,
53,0.8750,207,399,448,402,
54,0.9375,208,399,448,403,
55,1.0000,209,398,449,404,
56,1.0000,210,399,448,403,
57,1.0625,211,398,447,402,
58,1.0625,212,398,448,403,
59,1.1250,213,399,447,404,
60,1.1875,214,399,449,405,
61,1.1875,215,398,446,404,
62,1.2500,216,398,447,403,
63,1.3125,217,397,446,406,
64,1.3125,218,398,446,402,
65,1.3750,219,397,447,403,
66,1.4375,220,399,446,405,
67,1.4375,221,398,447,403,
68,1.4375,222,398,447,404,
69,1.5000,223,400,446,403,
70,1.5625,224,399,448,404,
71,1.5625,225,399,445,403,
72,1.6250,226,397,448,405,
73,1.6875,227,399,445,402,
74,1.6875,228,398,447,402,
76,1.7500,229,399,446,407,
77,1.7500,230,399,449,403,
78,1.8750,231,398,445,406,
79,1.8750,232,399,449,404,
80,1.9375,233,398,447,403,
81,1.9375,234,399,447,402,
82,2.0000,235,398,446,404,
83,2.0000,236,398,445,401,
84,2.0625,237,397,447,402,
85,2.0625,238,399,445,404,
86,2.1250,239,398,448,403,
87,2.1250,240,399,445,403,
88,2.1875,241,397,448,403,
89,2.1875,242,398,446,405,
90,2.2500,243,398,449,403,
91,2.3125,244,398,446,403,
92,2.3125,245,398,449,403,
93,2.3125,246,400,446,403,
94,2.4375,247,398,449,403,
95,2.4375,248,399,447,404,
96,2.4375,247,398,448,403,
97,2.4375,246,398,447,403,
98,2.5625,245,398,447,403,
99,2.5625,244,398,447,403,
100,2.5625,243,399,447,402,
101,2.5625,242,398,447,402,
102,2.6250,241,398,447,404,
103,2.6250,240,399,447,401,
104,2.6875,239,399,449,404,
105,2.6875,238,398,447,403,
106,2.7500,237,399,448,404,
107,2.7500,236,398,449,403,
108,2.7500,235,399,447,402,
109,2.8125,234,397,446,401,
110,2.8125,233,400,448,404,
111,2.8750,232,398,448,401,
112,2.8750,231,400,448,402,
113,2.9375,230,399,447,402,
114,2.9375,229,399,447,402,
115,3.0000,228,398,447,401,
116,3.0000,227,398,447,402,
117,3.1250,226,397,447,405,
118,3.0625,225,399,448,403,
119,3.0625,224,397,446,401,
120,3.1250,223,398,446,402,
121,3.1250,222,398,446,401,
122,3.1250,221,399,446,403,
124,3.1875,220,398,447,402,
125,3.1875,219,399,448,404,
126,3.1875,218,398,447,405,
127,3.2500,217,399,448,403,
128,3.2500,216,397,446,401,
129,3.3125,215,397,447,402,
130,3.3750,214,397,446,401,
131,3.3750,213,397,447,403,
132,3.3750,212,397,446,403,
133,3.3750,211,397,447,401,
134,3.4375,210,398,447,401,
135,3.4375,209,397,447,403,
136,3.4375,208,397,446,403,
137,3.4375,207,396,447,402,
138,3.4375,206,398,448,403,
139,3.5000,205,399,448,403,
140,3.4375,204,397,448,403,
141,3.5000,203,399,448,403,
142,3.5000,202,397,448,401,
143,3.5625,201,399,447,402,
144,3.5625,200,397,448,401,
145,3.5625,199,397,446,400,
146,3.6250,198,399,448,402,
147,3.6250,197,396,448,402,
148,3.6250,196,398,448,401,
149,3.9375,195,396,447,401,
150,3.9375,194,398,449,402,
151,4.3125,193,395,444,400,
152,4.7500,192,395,446,393,
153,4.8750,191,393,439,396,
154,5.0000,190,397,431,399,
155,5.0000,189,390,433,395,
156,5.0625,188,392,429,400,
157,5.1875,187,392,437,401,
158,5.0625,186,397,430,406,
159,5.1250,185,399,424,409,
160,5.2500,184,417,433,427,
161,5.5000,183,434,445,437,
162,5.5000,182,430,447,439,
163,5.5000,181,420,440,427,
164,5.3125,180,416,432,425,
165,5.3125,179,418,434,416,
166,5.3750,178,419,441,416,
167,5.3750,177,419,440,422,
168,5.4375,176,416,437,429,
169,5.3750,175,416,435,430,
171,5.6250,174,420,439,427,
172,5.5625,173,421,445,420,
173,5.6250,172,422,450,423,
174,5.5625,171,424,457,425,
