Time,Yaw,RPM,Laser1,Laser2,Laser3,
18,0.3125,173,339,389,352,
19,0.1875,174,347,391,348,
20,0.3125,175,352,395,353,
21,0.3750,176,355,404,356,
22,0.2500,177,354,401,361,
23,0.1875,178,359,393,363,
24,0.3125,179,361,405,386,
25,0.5000,180,364,410,368,
26,0.3750,181,372,415,373,
28,0.3750,182,377,414,379,
29,0.4375,183,377,412,384,
30,0.5000,184,381,423,378,
31,0.3125,185,382,419,387,
32,0.5000,186,380,427,385,
33,0.5625,187,383,426,391,
34,0.6250,188,387,434,395,
35,0.6250,189,388,426,388,
36,0.6250,190,389,442,396,
37,0.6250,191,391,432,398,
38,0.8125,192,393,442,399,
39,0.9375,193,396,447,399,
40,0.7500,194,398,442,407,
41,0.9375,195,397,444,406,
42,1.0625,196,399,443,407,
43,1.1250,197,400,457,406,
44,1.0625,198,404,455,409,
45,1.1250,199,401,450,410,
46,1.1250,200,403,448,408,
47,1.1875,201,402,449,408,
48,1.1875,202,404,450,409,
49,1.3125,203,402,448,408,
50,1.3125,204,404,449,408,
51,1.3125,205,403,450,408,
52,1.3750,206,402,448,411,
53,1.3750,207,404,448,410,
54,1.3750,208,402,449,411,
55,1.5625,209,401,453,409,
56,1.4375,210,400,454,404,
57,1.4375,211,402,457,404,
58,1.4375,212,402,456,406,
59,1.4375,213,403,455,406,
60,1.4375,214,402,455,406,
61,1.5000,215,401,455,405,
62,1.5625,216,402,455,406,
63,1.5625,217,401,451,406,
64,1.5625,218,401,449,404,
65,1.6250,219,400,453,407,
66,1.5625,220,404,460,407,
67,1.5625,221,400,456,404,
68,1.6875,222,399,454,402,
69,1.6875,223,402,453,404,
70,1.4375,224,402,454,404,
71,1.7500,225,400,459,405,
72,1.8125,226,400,457,405,
73,1.8125,227,401,455,405,
74,1.8750,228,399,454,403,
76,1.8750,229,400,457,405,
77,1.8750,230,401,456,406,
78,1.9375,231,399,455,406,
79,1.9375,232,400,222,404,
80,1.9375,233,402,456,406,
81,2.0000,234,402,454,406,
82,2.0000,235,400,453,405,
83,2.0000,236,403,457,405,
84,2.0625,237,401,455,405,
85,1.9375,238,398,449,405,
86,1.9375,239,402,456,404,
87,2.0000,240,401,454,408,
88,2.0625,241,401,455,409,
89,2.0625,242,401,456,406,
90,2.0000,243,400,453,404,
91,1.9375,244,400,455,403,
92,2.0625,245,396,454,401,
93,2.1250,246,394,453,400,
94,2.1250,247,396,454,400,
95,2.1250,248,398,456,405,
96,2.1875,247,399,454,404,
97,2.1875,246,398,454,402,
98,2.2500,245,402,457,405,
99,2.2500,244,400,454,404,
100,2.3125,243,399,454,403,
101,2.3125,242,400,457,405,
102,2.3750,241,402,453,406,
103,2.3750,240,399,454,404,
104,2.3750,239,401,456,405,
105,2.3750,238,400,453,407,
106,1.6250,237,399,452,404,
107,1.9375,236,402,456,408,
108,2.3125,235,399,452,406,
109,2.3125,234,400,454,404,
110,2.3125,233,400,456,406,
111,2.2500,232,402,452,406,
112,2.2500,231,402,452,403,
113,2.2500,230,399,456,404,
114,2.3125,229,401,453,405,
115,2.3125,228,400,454,404,
116,2.2500,227,400,457,403,
117,2.3125,226,401,454,404,
118,2.3125,225,399,454,403,
119,2.3125,224,397,455,405,
120,2.3125,223,402,454,405,
121,2.3125,222,401,455,404,
122,2.3750,221,401,457,405,
124,2.4375,220,399,454,405,
125,2.4375,219,399,454,403,
126,2.4375,218,399,221,405,
127,2.4375,217,400,453,406,
128,2.3750,216,400,453,407,
129,2.3125,215,402,457,406,
130,2.3125,214,402,453,405,
131,2.3125,213,402,456,407,
132,2.2500,212,401,456,404,
133,2.3125,211,399,454,404,
134,2.3750,210,399,456,406,
135,2.3125,209,400,455,407,
136,2.3125,208,400,453,404,
137,2.3750,207,398,455,402,
138,2.3750,206,399,456,405,
139,2.4375,205,399,454,404,
140,2.4375,204,399,455,403,
141,2.5000,203,402,455,404,
142,2.5000,202,400,453,406,
143,2.5000,201,401,457,405,
144,2.4375,200,400,454,406,
145,2.4375,199,398,452,404,
146,2.3750,198,404,456,404,
147,2.3750,197,399,453,406,
148,2.3750,196,400,454,403,
149,2.4375,195,403,448,409,
150,2.5000,194,398,452,401,
151,2.2500,193,397,446,398,
152,2.3750,192,394,447,399,
153,2.3125,191,394,443,392,
154,2.3750,190,393,433,402,
155,2.3125,189,390,430,399,
156,2.3125,188,389,437,393,
157,2.3125,187,386,434,391,
158,2.4375,186,381,427,400,
159,2.3750,185,379,430,393,
160,2.3125,184,380,421,382,
161,2.7500,183,377,425,396,
162,3.0625,182,386,407,392,
163,3.1875,181,399,416,402,
164,3.6875,180,426,419,442,
165,4.1875,179,409,422,420,
166,4.3125,178,455,458,459,
167,4.3750,177,438,454,441,
168,4.4375,176,425,428,431,
169,4.4375,175,412,413,418,
170,4.5625,174,405,407,418,
172,4.4375,173,391,406,405,
173,4.3750,172,401,410,420,
174,4.3750,171,395,399,410,
